UASG,Modalidade da Licitação,Número do Aviso da Licitação,Identificador da Licitação,Tipo do Pregão,Situação do Aviso,Objeto,Informações Gerais,Número do Processo,Tipo de Recurso,Número de Itens na Licitação,Nome do Responsável,Função do Responsável,Data de Entrega do Edital,Endereço de Entrega do Edital,Data de Abertura da Proposta,Data de Entrega da Proposta,Data de Publicação,Itens da licitação > uri
194035: DIRETORIA DE ADMINISTRAÇÃO E GESTÃO - FUNAI,"2: TOMADA DE PREÇOS                                  ",00001/1998,19403502000011998,,Publicado,"Contratação de serviços de firmas especializadas em medição e demar cação topográfica para execução de trabalhos nas terras indígenas TAPEBA e ALTO TURIAÇÚ, conforme anexos.",,8620-0447/98,Nacional,1,AMILTON GERÔNIMO DE FIGUEIREDO,Diretor de Administração,05/05/1998 08:30,"SEPS Q-702, Edifício Lex, 3º andar, sala 313 - Asa Sul/DF",,26/05/1998 09:00,05/05/1998,/licitacoes/id/licitacao/19403502000011998/itens
200005: MJ-CGS-COORDENACAO GERAL DE LOGISTICA/DF,"1: CONVITE                                           ",00001/1998,20000501000011998,,Publicado,Aquisição de livros jurídicos.,,00157/98,Nacional,23,MARISA PINHEIRO DE LIMA,Presidente da Comissão Permanente de Licitação,08/06/1998 08:00,Esplanada dos Ministérios Bloco T  Anexo - Esplanada/DF,,16/06/1998 10:00,08/06/1998,/licitacoes/id/licitacao/20000501000011998/itens
200005: MJ-CGS-COORDENACAO GERAL DE LOGISTICA/DF,"2: TOMADA DE PREÇOS                                  ",00001/1998,20000502000011998,,Publicado,Manutenção corretiva e preventiva nos veículos oficiais pertencentes ao Ministério da Justiça.,,00047/98,Nacional,4,SIMONE MÁRCIA BORGES,Presidente da Comissão Especial de Licitação/MJ,30/03/1998 08:00,Sig q. 06 lote 800 - Setor Gráfico/DF,,15/04/1998 10:00,30/03/1998,/licitacoes/id/licitacao/20000502000011998/itens
200005: MJ-CGS-COORDENACAO GERAL DE LOGISTICA/DF,"3: CONCORRÊNCIA                                      ",00001/1998,20000503000011998,,Publicado,"Contratação de empresa especializada para prestação de serviços de limpeza e conservação, com fornecimento de material e equipamentos.",,80080001549811,Nacional,1,JORGE ALBERTO ANDRADE EURICH,Presidente da Comissão Permanente de Licitação,22/09/1998 09:00,"Ed. Anexo II, sl. 620, Ministério da Justiça, Espl. dos Min. - Plano Piloto/DF",,10/11/1998 15:00,21/09/1998,/licitacoes/id/licitacao/20000503000011998/itens
200015: MJ-DPF-DEPARTAMENTO DE POLICIA FEDERAL-DF,"1: CONVITE                                           ",00001/1998,20001501000011998,,Publicado,Contratação de empresa especializada para prestação de serviços de suporte técnico em software clarity.,,,Nacional,1,MARIA LAGIETE MARTINS,Presidente da Comissão de Licitação,16/01/1998 08:00,Departamento de Policia Federal - SAS Quadra 06 Lotes 09/10/DF,,26/01/1998 09:00,16/01/1998,/licitacoes/id/licitacao/20001501000011998/itens
200015: MJ-DPF-DEPARTAMENTO DE POLICIA FEDERAL-DF,"2: TOMADA DE PREÇOS                                  ",00001/1998,20001502000011998,,Publicado,Contrataçaõ de firma especializada para prestação de serviço de tra nsporte aéreo de carga em âmbito nacional.,,,Nacional,1,MARIA LAGIETE MARTINS,Presidente da Comissão de Licitação,15/01/1998 08:00,Departamento de Policia Federal - SAS Quadra 06 Lotes 09/10/DF,,02/02/1998 09:00,15/01/1998,/licitacoes/id/licitacao/20001502000011998/itens
200015: MJ-DPF-DEPARTAMENTO DE POLICIA FEDERAL-DF,"3: CONCORRÊNCIA                                      ",00001/1998,20001503000011998,,Publicado,"Aquisição de 01 (hum) helicóptero do tipo leve, à turbina.",,820001446789894,Nacional,1,MARIA LAGIETE MARTINS,Presidente da Comissão de Licitação,04/09/1998 08:00,Departamento de Polícia Federal - SAS Quadra 06 lotes 09/10/DF,,05/10/1998 09:00,04/09/1998,/licitacoes/id/licitacao/20001503000011998/itens
200017: PR-IN-IMPRENSA NACIONAL/DF,"1: CONVITE                                           ",00001/1998,20001701000011998,,Publicado,"Aquisição de chapa de vidro liso, medindo 321 x 220 x 0,5cm.",,,Nacional,1,SIMONE MÁRCIA BORGES,Presidente da Comissão,12/01/1998 08:00,Sig q. 06 lote 800 - Setor Gráfico/DF,,20/01/1998 10:00,12/01/1998,/licitacoes/id/licitacao/20001701000011998/itens
200017: PR-IN-IMPRENSA NACIONAL/DF,"2: TOMADA DE PREÇOS                                  ",00001/1998,20001702000011998,,Publicado,Aquisição de gêneros alimentícios destinados ao preparo de  refeições das crianças atendidas pela Creche Leôncio Correia.,,,Nacional,7,SIMONE MÁRCIA BORGES,Presidente da Comissão,29/01/1998 08:00,Sig q. 06 lote 800 - Setor Gráfico/DF,,13/02/1998 10:00,29/01/1998,/licitacoes/id/licitacao/20001702000011998/itens
200017: PR-IN-IMPRENSA NACIONAL/DF,"4: CONCORRÊNCIA INTERNACIONAL                        ",00001/1998,20001704000011998,,Publicado,"Aquisição de papel jornal standart, linha d'água, 48,8 g/m2.",,,Nacional,2,ABINOALDO RODRIGUES DE LIMA,Presidente da Comissão Substituto,16/02/1998 08:00,Sig q. 06 lote 800 - Setor Gráfico/DF,,19/03/1998 10:00,16/02/1998,/licitacoes/id/licitacao/20001704000011998/itens
200026: MJ-SR-DPF-SUPER.REG.DEP.POLICIA FEDERAL/DF,"1: CONVITE                                           ",00001/1998,20002601000011998,,Publicado,Contratação de serviços de fabricação instalação e garantia de  02 (dois) portões deslizantes para o Núcleo de transportes e Núcleo de Custódi a na Superintendência Regional de Polícia Federal no Distrito Federal.,,8280002061/98-10,Nacional,1,MARIA DIVA GONDIM,Coordenadora Regional Administrativa,02/04/1998 08:30,"Setor Policial Sul, Qd 07, lote 23 - Asa sul/DF",,14/04/1998 09:30,02/04/1998,/licitacoes/id/licitacao/20002601000011998/itens
200027: MJ-ANP-ACADEMIA NACIONAL DE POLICIA/DF,"1: CONVITE                                           ",00001/1998,20002701000011998,,Divulgado,"Contratação de firma para fornecimento de café e açúcar, para a Aca demia Nacional de Polícia, para o exercício de 1998.",,,Nacional,2,,,20/01/1998 08:00,Estrada Parque do Contorno Km 02 - Sobradinho/DF,,28/01/1998 09:00,,/licitacoes/id/licitacao/20002701000011998/itens
200027: MJ-ANP-ACADEMIA NACIONAL DE POLICIA/DF,"2: TOMADA DE PREÇOS                                  ",00001/1998,20002702000011998,,Publicado,"Contratação de firma para fornecimento de combustíveis para a Academia Nacional de Polícia, durante o exercício de 1998.",,,Nacional,3,ARI ALVES DE SOUSA,Presidente da CPL/ANP,20/01/1998 08:00,Estrada Parque do Contorno Km 02 - Sobradinho/DF,,04/02/1998 09:00,20/01/1998,/licitacoes/id/licitacao/20002702000011998/itens
200027: MJ-ANP-ACADEMIA NACIONAL DE POLICIA/DF,"3: CONCORRÊNCIA                                      ",00001/1998,20002703000011998,,Publicado,"Contratação de empresa especializada em cozinha industrial, para ex ploração de um restaurante e uma lanchonete, mediante permissão de uso de u so das instalações, equipamentos e utensílios, nas dependências da Academia Nacional de Polícia.",,8204000137/98-49,Nacional,1,JOSÉ RODRIGUES GONÇALVES JÚNIOR,Presidente da CPL/ANP,29/05/1998 08:00,Estrada Parque do Contorno Km 02 - Sobradinho/DF,,29/06/1998 09:00,29/05/1998,/licitacoes/id/licitacao/20002703000011998/itens
200028: MJ-DPF-CTI-COORD. DE TECNOLOGIA DA INFORMAçãO,"1: CONVITE                                           ",00001/1998,20002801000011998,,Publicado,O objeto do convite e o servico de conectividade IP para acesso a I nternet (especificada no anexo deste edital),,,Nacional,1,SEBASTIAO FLEURY DE AMORIM,Presidente da CPL/COINF/DPF,12/01/1998 08:00,SAIS Q. 07 Lote 23 Ed. CPD - Asa Sul/DF,,19/01/1998 10:00,12/01/1998,/licitacoes/id/licitacao/20002801000011998/itens
200028: MJ-DPF-CTI-COORD. DE TECNOLOGIA DA INFORMAçãO,"22: TOMADA DE PREÇOS POR TÉCNICA E PREÇO              ",00001/1998,20002822000011998,,Publicado,"Contratacao de empresa especializada em locacao e manutencao   de equipamentos de processamentos de dados de grande porte, Unidade Controlado ra de Terminais (TCU). Conforme Projeto Basico 01/98 anexo no Edital",,,Nacional,1,SEBASTIAO FLEURY DE AMORIM,Presidente da CPL/COINF/DPF,16/01/1998 08:00,SAIS Q 07 Lote 23 Ed. CPD - Setor Policial Sul/DF,,17/02/1998 10:00,15/01/1998,/licitacoes/id/licitacao/20002822000011998/itens
200028: MJ-DPF-CTI-COORD. DE TECNOLOGIA DA INFORMAçãO,"33: CONCORRÊNCIA POR TÉCNICA E PREÇO                  ",00001/1998,20002833000011998,,Publicado,"Contratação dos Serviços de Desenvolvimento de uma Solução de Geren ciamento de Imagens e de documentos, a digitalização de seiscentos mil docu mentos, conversão e exportação de dados de índices de imagens gerados pelo software Clarity, setecentos mil documentos aproximadamente, do Instituto Nacional de Identificação/DPF, sob regime de empreitada por item, conforme Projeto Básico e anexos.",,8206000144/98-21,Nacional,1,SEBASTIÃO FLEURY DE AMORIM,Presidente CPL/COINF/DPF,17/04/1998 08:00,Setor Policial Sul Área Especial 07 lote 09 - Asa Sul/DF,,01/06/1998 10:00,16/04/1998,/licitacoes/id/licitacao/20002833000011998/itens
200067: MJ-DPF-SUPERINT. REG.DEP.POLICIA FEDERAL/GO,"2: TOMADA DE PREÇOS                                  ",00001/1998,20006702000011998,,Publicado,Aquisição de equipamentos para supervisão de telefonia móvel.,,8295007046/98-53,Nacional,1,LEONEY RODRIGUES DE SOUZA,Presidente da comissão de licitação - SR/DPF/GO,09/11/1998 08:00,"Rua 235, nr. 40 - Setor universitário/GO",,27/11/1998 10:00,09/11/1998,/licitacoes/id/licitacao/20006702000011998/itens
200114: SUPERINTENDENCIA REG. POL. RODV. FEDERAL-BA,"1: CONVITE                                           ",00001/1998,20011401000011998,,Divulgado,"Aquisição de botas em couro, na cor preta, modelo motociclista , em diversos tamanhos.",,8.655.000.699/98,Nacional,1,,,23/12/1998 08:00,"Av. Frederico Pontes, 151 - Comércio/BA",,30/12/1998 09:00,,/licitacoes/id/licitacao/20011401000011998/itens
200304: MP-DAG-DIRETORIA DE ADMINISTRACAO GERAL/DF,"1: CONVITE                                           ",00001/1998,20030401000011998,,Divulgado,Contratação de pessoa jurídica para prestar serviços de  tradução simultânia português/inglês/português.,,,Nacional,1,,,08/01/1998 08:00,"Esplanada dos Ministérios, Bloco C, 5º andar, sala 520 - Min. Administração Fed. Ref. do Estado/DF",15/01/1998 09:15,15/01/1998 09:00,,/licitacoes/id/licitacao/20030401000011998/itens
200304: MP-DAG-DIRETORIA DE ADMINISTRACAO GERAL/DF,"2: TOMADA DE PREÇOS                                  ",00001/1998,20030402000011998,,Publicado,"Contratação de pessoa jurídica para a prestação de serviços de rema nejamento de divisorias comuns com estrutura de alumínio, divisórias comuns com estruturade aço, com fornecimento de material.",,4000011909/97-12,Nacional,1,BERNARDO LUCÍDIO DE CALDAS BRITO,Presidente da Comissão Permanente de Licitação,18/03/1998 08:00,Ministério da Administração Federal e Reforma do Estado - Esplanada dos Ministérios/DF,,02/04/1998 09:00,18/03/1998,/licitacoes/id/licitacao/20030402000011998/itens
200304: MP-DAG-DIRETORIA DE ADMINISTRACAO GERAL/DF,"3: CONCORRÊNCIA                                      ",00001/1998,20030403000011998,,Publicado,"Contratação de pessoa jurídica para a prestação de serviço de manutenção preventiva e corretiva dos sistemas elétricos de baixa tensão, Rede Estabilizada e instalações hidro-sanitárias, no Edifício Sede do  Ministério da Administração Federal e Reforma do Estado.",,,Nacional,2,EULER GONÇALVES DE MORAIS,Presidente da Comissão Especial de Licitação,02/02/1998 08:00,Ministério da Administração Federal e Reforma do estado - Esplanada dos Ministérios/DF,,05/03/1998 09:00,02/02/1998,/licitacoes/id/licitacao/20030403000011998/itens
201004: MP-COORDENAÇÃO GERAL DE AQUISIÇÕES,"1: CONVITE                                           ",00001/1998,20100401000011998,,Publicado,Contratação de empresa especializada em serviços técnicos de engenh aria com fornecimento de material e mão de obra para impermeabilização dosp isos das câmaras frigoríficas.,,,Nacional,1,GUILHERME CALHAAO MOTTA,Presidente da Comissão Permanente de Licitação,23/01/1998 08:00,"Esplanada dos Ministérios, bloco ""k"" sala 135 - Plano Piloto/DF",,02/02/1998 10:00,23/01/1998,/licitacoes/id/licitacao/20100401000011998/itens
201004: MP-COORDENAÇÃO GERAL DE AQUISIÇÕES,"2: TOMADA DE PREÇOS                                  ",00001/1998,20100402000011998,,Publicado,Contratação de empresa especializada para locação de 01 (uma) copia dora/impressora colorida.,,,Nacional,1,GUILHERME CALHAO MOTTA,Presidente da Comissão Permanente de Licitação,29/01/1998 08:00,"Esplanda do Ministérios Bloco K, sala 135 - Plano Piloto/DF",,19/02/1998 10:00,28/01/1998,/licitacoes/id/licitacao/20100402000011998/itens
201004: MP-COORDENAÇÃO GERAL DE AQUISIÇÕES,"3: CONCORRÊNCIA                                      ",00001/1998,20100403000011998,,Publicado,Contratação de empresa especializada  para prestação de serviços médico/hospitalares.,,3110.000492/9852,Nacional,1,GUILHERME CALHAO MOTTA,Presidente da Comissão Permanente de Licitação,04/03/1998 08:00,"Esplanada dos Ministérios, Bloco ""K"", Sala 135. - Plano Piloto/DF",,06/04/1998 10:00,04/03/1998,/licitacoes/id/licitacao/20100403000011998/itens
203001: AGENCIA ESPACIAL BRASILEIRA,"1: CONVITE                                           ",00001/1998,20300101000011998,,Publicado,Contratação de empresa especializada para impressão gráfica de obra intitulada ""PROGRAMA NACIONAL DE ATIVIDADES ESPACIAIS PNAE"".,,,Nacional,1,GESSÉ MARTINS BORGES,Diretor do Departamento de Administração,06/02/1998 08:30,Ed. Engenheiro Paulo Mauricio sala 307 - Setor Bancário Nort - Asa Norte/DF,,13/02/1998 10:00,04/02/1998,/licitacoes/id/licitacao/20300101000011998/itens
240013: DIVISÃO DE SERVICOS GERAIS - MRE/DF,"2: TOMADA DE PREÇOS                                  ",00001/1998,24001302000011998,,Publicado,Aquisição de material de almoxarifado para uso do Ministério das Re lações Exteriores.,,82001,Nacional,73,RITA DE CÁSSIA LEITÃO UNGARETTI,Presidente da CPL,19/02/1998 09:00,Ministério das Relações Exteriores Anexo I 8 andar DSG - Esplanada dos Ministérios/DF,,09/03/1998 10:30,19/02/1998,/licitacoes/id/licitacao/24001302000011998/itens
240101: MCT-COORD. GERAL DE RECURSOS LOGÍSTICOS/DF,"1: CONVITE                                           ",00001/1998,24010101000011998,,Divulgado,Aquisição de material de consumo.,,1200000432/98-50,Nacional,26,,,04/03/1998 09:00,Esplanada dos Ministérios bloco ""E"" sala 140 - Asa Sul/DF,,11/03/1998 15:00,,/licitacoes/id/licitacao/24010101000011998/itens
240101: MCT-COORD. GERAL DE RECURSOS LOGÍSTICOS/DF,"2: TOMADA DE PREÇOS                                  ",00001/1998,24010102000011998,,Publicado,"Fornecimento e instalação de equipamentos de informática, com respectivos ""softwares"", necessários para ampliação da Rede Local do MCT: Esta ções de Rede Local com: placa principal,Memória RAM, Memória cache, barramentos de conexão, fonte de alimentação,teclado,interfaces,monitor de vídeo policromático,unidade de disco rígido,unidade de disco flexível,recursos de mídia,gabinete no padrão ATX,placa de rede;Notebook Pentium Multimídia c/me mória RAM,Memória Cache,Fonte de alimentação,teclado,interfaces,tela cristal,unidade de disco rígido,unidade de disco flexível,recursos de multimídi a,mouse,bateria,câmera de vídeo; Impressora à jato de tinta policromática.",,1200002216/98-85,Nacional,3,MARCUS VINICIUS DE ARAÚJO,Presidente da CLBSI,01/09/1998 09:00,Esplanada dos Ministérios - Bloco E - salas 140 e T-64 - Asa Sul/DF,,06/10/1998 09:00,01/09/1998,/licitacoes/id/licitacao/24010102000011998/itens
240101: MCT-COORD. GERAL DE RECURSOS LOGÍSTICOS/DF,"3: CONCORRÊNCIA                                      ",00001/1998,24010103000011998,,Publicado,"Contratação de empresa especializada para a prestação de  serviços relacionados às atividades de transporte, copeiragem, recepção, telecomuni cações(telefonia), manautenção de mobiliário e de instalações físicas em ma deira e materiais assemelhados, bem como com serviços auxiliares, no Edifício Sede do Ministério da Ciência e Tecnologia, situado no Boloc ""E"" da Esplanada dos Ministérios, Brasília-DF.",,120000154198-21,Nacional,1,PAULO DE QUEIROZ ROCHA PINTO,Subsecretário de Assuntos Administrativos,24/09/1998 08:00,Esplanada dos Ministérios bloco E sala 140 sobreloja - Asa Sul/DF,,03/11/1998 09:00,24/09/1998,/licitacoes/id/licitacao/24010103000011998/itens
240111: SECRETARIA EXECUTIVA DO PADCT/MCT,"2: TOMADA DE PREÇOS                                  ",00001/1998,24011102000011998,,Publicado,"Contratação de serviços de hotelaria,em Brasília, onde se realizará a reunião dos Comitês Assessores para Julgamento da segunda rodada dos Editais 01/97 do Programa de Apoio ao Desenvolvimento Científico e Tecnológico PADCT.",,,Nacional,1,MARIA DE LOURDES CARDOSO DOS SANTOS,Presidente da Comissão Permanente de Licitação do PADCT,29/01/1998 09:00,Esplanada dos Ministérios - Bloco E - Sala 346 - Plano Piloto/DF,,16/02/1998 10:00,29/01/1998,/licitacoes/id/licitacao/24011102000011998/itens
244001: FUNAG-FUNDACAO ALEXANDRE GUSMAO/DF,"1: CONVITE                                           ",00001/1998,24400101000011998,,Publicado,Contratação de empresa para serviços de seguro de quadros que terão sua caracteristicas especificadas no anexo I do presente convite.,,0/98,Nacional,1,ELIANA SANDRA CORREA,Presidente da Comissao de Licitacão,27/02/1998 09:00,Area 5 Q.3 Bl A 1º andar - Asa Sul/DF,,06/03/1998 10:00,27/02/1998,/licitacoes/id/licitacao/24400101000011998/itens
250005: DEPARTAMENTO DE LOGÍSTICA EM SAUDE,"1: CONVITE                                           ",00001/1998,25000501000011998,,Divulgado,Aquisição de caixas de isopor,,,Nacional,2,,,08/01/1998 08:00,Ministério da Saúde - Ed. Anexo Sala 409-A - Plano Piloto/DF,15/01/1998 09:45,15/01/1998 09:30,,/licitacoes/id/licitacao/25000501000011998/itens
250005: DEPARTAMENTO DE LOGÍSTICA EM SAUDE,"2: TOMADA DE PREÇOS                                  ",00001/1998,25000502000011998,,Publicado,Serviço de modernização dos elevadores dos Edifícios Anexos do Ministério da Saúde.,,,Nacional,1,JOAO BATISTA BUSCARDI FERRAZ,Presidente da Comissão de Licitação,27/01/1998 08:00,Ministério da Saúde - Ed. Anexo - Sala 409-A - Plano Piloto/DF,,11/02/1998 09:30,27/01/1998,/licitacoes/id/licitacao/25000502000011998/itens
250005: DEPARTAMENTO DE LOGÍSTICA EM SAUDE,"3: CONCORRÊNCIA                                      ",00001/1998,25000503000011998,,Publicado,Aquisição de material de consumo para suprimento e resuprimento do Almoxarifado/MS.,,50000045159814,Nacional,159,JOAO BATISTA BUSCARDI FERRAZ,PRESIDENTE DA COMISSAO PERMANENTE DE LICITAçAO,30/04/1998 08:00,Ministério da Saúde-Ed. Anexo Sala 409-A - /DF,,03/06/1998 09:30,30/04/1998,/licitacoes/id/licitacao/25000503000011998/itens
250005: DEPARTAMENTO DE LOGÍSTICA EM SAUDE,"4: CONCORRÊNCIA INTERNACIONAL                        ",00001/1998,25000504000011998,,Publicado,"Aquisição do Medicamento: 1 Imunoglobulina IV Humana frascos 0,5 1G, 8,700 Frascos; 2 Imunoglobulina IV Humana Frascos 2,5 3G, 17.400 frascos; e 3 Imunoglobulina IV Humana frascos 5 6G, 8.700 frascos, para atender ao Programa de DST/AIDS do Ministério da Saúde.",,5000004735/98-11,Nacional,3,EDISON PIRES VIEIRA,Presidente da Comissão Especial de Licitação,01/04/1998 08:00,"Edifício Anexo ""A"" do Ministério da Saúde, sala 409-A - Esplanada dos Ministérios P. Piloto/DF",,04/05/1998 09:30,01/04/1998,/licitacoes/id/licitacao/25000504000011998/itens
250028: NUCLEO ESTADUAL DO MINIST. DA SAUDE/PR,"1: CONVITE                                           ",00001/1998,25002801000011998,,Divulgado,Locacao de maquinas copiadoras.,,5023/037265/1998,Nacional,1,,,11/12/1998 09:00,"Rua Candido Lopes, 208, 6 andar, sala 603. - Centro/PR",,18/12/1998 14:00,,/licitacoes/id/licitacao/25002801000011998/itens
250031: NUCLEO ESTADUAL NO RIO DE JANEIRO/MS,"22: TOMADA DE PREÇOS POR TÉCNICA E PREÇO              ",00001/1998,25003122000011998,,Publicado,Prestação de serviços de engenharia para a instalação de rede logica de informatica nas unidades hospitalares do ministério da saúde e coorde nação das unidades hospitalares próprias no rio de janeiro.,,500100796598,Nacional,1,ANA TEREZA DA SILVA PEREIRA CAMARGO,Coordenadora das unidades hospitalares proprias no rj,07/12/1998 10:00,"Rua méxico 128, sala 900 - 9 andar - Centro/RJ",,06/01/1999 10:00,07/12/1998,/licitacoes/id/licitacao/25003122000011998/itens
250033: ESCRITORIO DE REPRES. DO MINIST. DA SAUDE/RS,"2: TOMADA DE PREÇOS                                  ",00001/1998,25003302000011998,,Publicado,Aquisição de Equipamentos de Informática para Gerência Estadual do Ministério da Saúde/RS.,,5025/49919/98,Nacional,2,TELMO PAULO KLOECKNER,Chefe da Divisão de Administração,27/10/1998 09:00,"Avenida Borges de Medeiros, 536, 6º andar - sala 602 - Centro__ Porto Alegre/RS",,27/11/1998 09:30,27/10/1998,/licitacoes/id/licitacao/25003302000011998/itens
250077: HOSPITAL MATERNO INFANTIL PRESIDENTE VARGAS,"1: CONVITE                                           ",00001/1998,25007701000011998,,Divulgado,Aquisição de Equipamentos de Informática,,330300801698,Nacional,5,,,24/09/1998 09:00,"Av. Independência, 661 - 4º andar , sala 401 - Centro/RS",,05/10/1998 14:00,,/licitacoes/id/licitacao/25007701000011998/itens
254423: CENTRO DE PESQUISAS RENE RACHAU,"1: CONVITE                                           ",00001/1998,25442301000011998,,Divulgado,Prestação de serviços de recepção no Centro de Pesquisas René Ra chou pelo período de 12 (doze) meses.,,5381000363/98-15,Nacional,2,,,18/11/1998 08:00,"Av. Augusto de Lima, nº 1715 - Barro Preto/MG",,03/12/1998 14:00,,/licitacoes/id/licitacao/25442301000011998/itens
255000: MS-FUNDACAO NACIONAL DE SAUDE/DF,"1: CONVITE                                           ",00001/1998,25500001000011998,,Divulgado,"Aquisição de 11 (onze) aparelhos de telefonia celular, peso e dimen são pequenos, com vibracall, memória alfanumérica, acompanhado de  bateria longa duração, com bateria de reserva e carregador rápido.",,,Nacional,1,,,23/01/1998 08:00,SAS Quadra 04 Bloco N sala 410 - Setor de Autarquias Sul/DF,,30/01/1998 09:30,,/licitacoes/id/licitacao/25500001000011998/itens
255000: MS-FUNDACAO NACIONAL DE SAUDE/DF,"2: TOMADA DE PREÇOS                                  ",00001/1998,25500002000011998,,Publicado,"Aquisição de Anemômetro, Altímetro, Micrômetro ocular, Micrômetro de platina, pinça para relojoeiro, ocular de 20X para microscópio Olympus_e Objetiva de 40X para microscópio biológico.",,510.000374/98-32,Nacional,7,GILNARA PINTO PEREIRA,Presidente da CPL,09/03/1998 08:00,SAS- Quadra 04 Bloco N Sala 410 - Asa Sul/DF,,27/03/1998 09:00,09/03/1998,/licitacoes/id/licitacao/25500002000011998/itens
255000: MS-FUNDACAO NACIONAL DE SAUDE/DF,"3: CONCORRÊNCIA                                      ",00001/1998,25500003000011998,,Publicado,"Aquisição de medicamentos antimaláricos: Artemeter, Artesunato, Clo roquina, Doxiciclina, Mefloquina, Quinina, Primaquina.",,5100000384/98-96,Nacional,10,GILNARA PINTO PEREIRA,Presidente da CPL,24/04/1998 08:00,SAS - Quadra 04 Bloco N Sala 410 - Asa Sul/DF,,27/05/1998 09:00,24/04/1998,/licitacoes/id/licitacao/25500003000011998/itens
255021: FNS-COORDENADORIA REGIONAL/RS,"2: TOMADA DE PREÇOS                                  ",00001/1998,25502102000011998,,Publicado,Aquisicao de um caminhao de tres eixos e de um furgao termico para transporte de imunobiologicos.,,5265.01254/98-51,Nacional,2,LUCIO PEREIRA DE CAMPOS,Presidente,23/11/1998 08:30,Rua Vigario Jose Inacio 303/4º andar - Centro/RS,,08/12/1998 10:00,20/11/1998,/licitacoes/id/licitacao/25502102000011998/itens
264006: MTB-FUNDACENTRO-U.E.BRASILIA/DF,"3: CONCORRÊNCIA                                      ",00001/1998,26400603000011998,,Publicado,"Contratação de empresa para prestação de serviços nas áreas de info rmática,telecomunicações, transporte e recepção.",,rdf/038/98,Nacional,5,SILVANA MARIA RIBEIRO VALADARES,Chefe do servico adminstrativo,02/03/1998 08:00,Scs quadra 04 bloco a numero 94 ed.zarife__sala 403 - Plano piloto/DF,,01/04/1998 14:00,02/03/1998,/licitacoes/id/licitacao/26400603000011998/itens
280101: MINISTERIO DO DESENV.INDUSTRIA E COM.EXTERIOR,"1: CONVITE                                           ",00001/1998,28010101000011998,,Publicado,"Contratação de pessoa jurídica especializada na confecção e fornecimento de carimbos, para atender os diversos órgãos do MICT.",,,Nacional,1,ANDRÉIA DA SILVA OLIVEIRA GOMES,Presidente da Comissão Permanente de Licitação,29/01/1998 09:00,"Esplanada dos Ministérios, Bloco J, Térreo - Plano Piloto/DF",,05/02/1998 10:00,29/01/1998,/licitacoes/id/licitacao/28010101000011998/itens
280101: MINISTERIO DO DESENV.INDUSTRIA E COM.EXTERIOR,"2: TOMADA DE PREÇOS                                  ",00001/1998,28010102000011998,,Publicado,"A contratação de empresa especializada para a prestação de serviços técnicos de manutenção corretiva e preventiva, em 06 (seis) conjuntos  de chanceladoras elétricas acopladas a numeradores elétricos e 02 (duas) máqui nas perfuradoras, localizadas na Junta Comercial do Distrito Federal JCDF .Para retirada do Edital a interessada terá de apresentar guia de recolhimento no valor de R$ 7,00 (sete reais), a ser creditado na conta n. 55.564. 500-2, Banco do Brasil,agencia 3602-1, CGSG-MICT.",,,Nacional,1,ANDREIA DA SILVA OLIVEIRA GOMES,Presidente da Comissão Permanente de Licitação,04/02/1998 09:00,"Ministério da Indústria, do Comércio e do Turismo - Esplanada dos Ministérios, Bl. J sl. 312/DF",,19/02/1998 10:00,04/02/1998,/licitacoes/id/licitacao/28010102000011998/itens
280101: MINISTERIO DO DESENV.INDUSTRIA E COM.EXTERIOR,"33: CONCORRÊNCIA POR TÉCNICA E PREÇO                  ",00001/1998,28010133000011998,,Publicado,"Contração de empresa especializada para prestação de serviços de ma 3602-1, CGSG/MICT. nutenção/atualização tecnológica, em 06 (seis) elevadores sociais e 01 (um) elevador de serviço, localizados no Edifício-Sede do Ministério da  Indústria, do Comércio e do Turismo, Esplanada dos Ministérios, Bloco ""J"", Brasí lia-DF, com fornecimento de materiais e mão-de-obra especializada, e de ser viços de manutenção corretiva e preventiva dos 08 (oito) elevadores da marca OTIS, instalados no Edifício. Para retirada do edital a interessada terá de apresentar guia de recolhimento original no valor de 18,00 (dezoito reais), a ser creditada na conta, Banco do Brasil, n.° 55.564.500-02, agência",,2000-000484/9813,Nacional,1,ANDRÉIA DA SILVA OLIVEIRA GOMES,Presidente da Comissão Permanente de Licitação,07/08/1998 09:00,"Ministério da Indústria, do Comércio e do Turismo - Sl. 312, consulta e retirada do edital/DF",,23/09/1998 10:00,07/08/1998,/licitacoes/id/licitacao/28010133000011998/itens
320004: MME-CGC-COORD.GERAL DE RECURSOS LOGISTICOS/DF,"1: CONVITE                                           ",00001/1998,32000401000011998,,Publicado,Aquisição de material de expediente,,,Nacional,1,VITOR PEREIRA JUNIOR,Coordenador Geral de Serviços Gerais,27/01/1998 09:00,"Ministério de Minas e Energia, Bloco ""U"" sala 205 - Centro/DF",,03/02/1998 10:00,27/01/1998,/licitacoes/id/licitacao/32000401000011998/itens
