no_cidade,nome_da_nidade,gid,valor,taxa
"Olivedos","<i>Olivedos</i>","6726","<b>1</b>","1"
"Tutóia","<i>Tutóia</i>","9264","<b>3</b>","3"
"Santa Terezinha de Itaipu","<i>Santa Terezinha de Itaipu</i>","6066","<b>1</b>","1"
"Vargeão","<i>Vargeão</i>","6416","<b>1</b>","1"
"Castelo do Piauí","<i>Castelo do Piauí</i>","6946","<b>4</b>","4"
"Oeiras","<i>Oeiras</i>","7033","<b>6</b>","6"
"Presidente Bernardes","<i>Presidente Bernardes</i>","10831","<b>2</b>","2"
"Ladário","<i>Ladário</i>","9816","<b>3</b>","3"
"Chapadão do Céu","<i>Chapadão do Céu</i>","7504","<b>2</b>","2"
"Campinas","<i>Campinas</i>","8379","<b>14</b>","14"
"Saudades","<i>Saudades</i>","6390","<b>1</b>","1"
"Ipueiras","<i>Ipueiras</i>","8974","<b>0</b>","0"
"Axixá","<i>Axixá</i>","9073","<b>3</b>","3"
"Arari","<i>Arari</i>","9072","<b>2</b>","2"
"Riachão das Neves","<i>Riachão das Neves</i>","8084","<b>1</b>","1"
"Taquaral de Goiás","<i>Taquaral de Goiás</i>","7669","<b>1</b>","1"
"Rio Negro","<i>Rio Negro</i>","6043","<b>3</b>","3"
"Rio Verde","<i>Rio Verde</i>","7638","<b>6</b>","6"
"Serranópolis de Minas","<i>Serranópolis de Minas</i>","10998","<b>2</b>","2"
"Laranjeiras","<i>Laranjeiras</i>","7720","<b>2</b>","2"
"Olhos-d'Água","<i>Olhos-d'Água</i>","10741","<b>1</b>","1"
"Itapemirim","<i>Itapemirim</i>","11100","<b>0</b>","0"
"Parari","<i>Parari</i>","6728","<b>0</b>","0"
"Itá","<i>Itá</i>","6256","<b>1</b>","1"
"São Sebastião","<i>São Sebastião</i>","8837","<b>5</b>","5"
"Ituaçu","<i>Ituaçu</i>","7964","<b>0</b>","0"
"São Sebastião do Oeste","<i>São Sebastião do Oeste</i>","10970","<b>1</b>","1"
"São Roque de Minas","<i>São Roque de Minas</i>","10965","<b>0</b>","0"
"Pouso Redondo","<i>Pouso Redondo</i>","6338","<b>2</b>","2"
"Araguari","<i>Araguari</i>","10249","<b>6</b>","6"
"Pedro Teixeira","<i>Pedro Teixeira</i>","10788","<b>0</b>","0"
"Quinze de Novembro","<i>Quinze de Novembro</i>","9610","<b>0</b>","0"
"Sant'Ana do Livramento","<i>Sant'Ana do Livramento</i>","9640","<b>3</b>","3"
"Malhada de Pedras","<i>Malhada de Pedras</i>","8006","<b>0</b>","0"
"Central de Minas","<i>Central de Minas</i>","10384","<b>1</b>","1"
"Rodeio","<i>Rodeio</i>","6355","<b>1</b>","1"
"Piquet Carneiro","<i>Piquet Carneiro</i>","7257","<b>2</b>","2"
"Guaramirim","<i>Guaramirim</i>","6234","<b>2</b>","2"
"Porangatu","<i>Porangatu</i>","7629","<b>6</b>","6"
"Ouriçangas","<i>Ouriçangas</i>","8047","<b>0</b>","0"
"Guajará","<i>Guajará</i>","10159","<b>2</b>","2"
"Tremedal","<i>Tremedal</i>","8154","<b>2</b>","2"
"Campo Grande","<i>Campo Grande</i>","10048","<b>3</b>","3"
"Princesa","<i>Princesa</i>","6343","<b>0</b>","0"
"São José do Rio Preto","<i>São José do Rio Preto</i>","8827","<b>7</b>","7"
"Santa Maria do Salto","<i>Santa Maria do Salto</i>","10889","<b>2</b>","2"
"Alto do Rodrigues","<i>Alto do Rodrigues</i>","6434","<b>0</b>","0"
"Guarabira","<i>Guarabira</i>","6678","<b>2</b>","2"
"Várzea do Poço","<i>Várzea do Poço</i>","8169","<b>3</b>","3"
"Bom Jardim de Minas","<i>Bom Jardim de Minas</i>","10291","<b>0</b>","0"
"Tanabi","<i>Tanabi</i>","8865","<b>0</b>","0"
"Lontras","<i>Lontras</i>","6281","<b>1</b>","1"
"Tucano","<i>Tucano</i>","8155","<b>7</b>","7"
"Camaquã","<i>Camaquã</i>","9337","<b>1</b>","1"
"Faina","<i>Faina</i>","7524","<b>2</b>","2"
"São Domingos do Araguaia","<i>São Domingos do Araguaia</i>","5691","<b>2</b>","2"
"Varjão","<i>Varjão</i>","7682","<b>0</b>","0"
"Lago da Pedra","<i>Lago da Pedra</i>","9153","<b>5</b>","5"
"Cascavel","<i>Cascavel</i>","5802","<b>12</b>","12"
"Rio Bananal","<i>Rio Bananal</i>","11124","<b>2</b>","2"
"Arraial do Cabo","<i>Arraial do Cabo</i>","8184","<b>3</b>","3"
"Quixadá","<i>Quixadá</i>","7264","<b>6</b>","6"
"Bandeira","<i>Bandeira</i>","10268","<b>0</b>","0"
"Feliz","<i>Feliz</i>","9438","<b>1</b>","1"
"Salto Grande","<i>Salto Grande</i>","8780","<b>0</b>","0"
"Pajeú do Piauí","<i>Pajeú do Piauí</i>","7037","<b>3</b>","3"
"Barra do Piraí","<i>Barra do Piraí</i>","8185","<b>6</b>","6"
"Figueirópolis D'Oeste","<i>Figueirópolis D'Oeste</i>","7343","<b>1</b>","1"
"Ribeirão Corrente","<i>Ribeirão Corrente</i>","8753","<b>0</b>","0"
"Almadina","<i>Almadina</i>","7771","<b>1</b>","1"
"São João do Manhuaçu","<i>São João do Manhuaçu</i>","10942","<b>1</b>","1"
"Tartarugalzinho","<i>Tartarugalzinho</i>","5732","<b>3</b>","3"
"Butiá","<i>Butiá</i>","9329","<b>1</b>","1"
"Cunha","<i>Cunha</i>","8421","<b>1</b>","1"
"Rolim de Moura","<i>Rolim de Moura</i>","6837","<b>1</b>","1"
"Barrolândia","<i>Barrolândia</i>","8938","<b>1</b>","1"
"Davinópolis","<i>Davinópolis</i>","9119","<b>5</b>","5"
"São Pedro da Água Branca","<i>São Pedro da Água Branca</i>","9243","<b>2</b>","2"
"Araguaçu","<i>Araguaçu</i>","8926","<b>1</b>","1"
"Salgado Filho","<i>Salgado Filho</i>","6049","<b>0</b>","0"
"Iguatu","<i>Iguatu</i>","5877","<b>1</b>","1"
"Pindobaçu","<i>Pindobaçu</i>","8062","<b>3</b>","3"
"Plácido de Castro","<i>Plácido de Castro</i>","6882","<b>5</b>","5"
"Videira","<i>Videira</i>","6420","<b>0</b>","0"
"Amaralina","<i>Amaralina</i>","7453","<b>0</b>","0"
"Sítio do Mato","<i>Sítio do Mato</i>","8139","<b>1</b>","1"
"Monte Belo","<i>Monte Belo</i>","10707","<b>1</b>","1"
"Sidrolândia","<i>Sidrolândia</i>","9841","<b>2</b>","2"
"Nerópolis","<i>Nerópolis</i>","7597","<b>2</b>","2"
"Quatiguá","<i>Quatiguá</i>","6021","<b>0</b>","0"
"Extremoz","<i>Extremoz</i>","6467","<b>7</b>","7"
"Piedade de Ponte Nova","<i>Piedade de Ponte Nova</i>","10798","<b>1</b>","1"
"Três Marias","<i>Três Marias</i>","11025","<b>1</b>","1"
"Natividade","<i>Natividade</i>","8224","<b>4</b>","4"
"Taquarituba","<i>Taquarituba</i>","8870","<b>2</b>","2"
"São Jorge do Ivaí","<i>São Jorge do Ivaí</i>","6079","<b>0</b>","0"
"Curvelândia","<i>Curvelândia</i>","7338","<b>1</b>","1"
"Paudalho","<i>Paudalho</i>","9968","<b>1</b>","1"
"Filadélfia","<i>Filadélfia</i>","7893","<b>1</b>","1"
"Itapebi","<i>Itapebi</i>","7954","<b>1</b>","1"
"Mirante","<i>Mirante</i>","8020","<b>1</b>","1"
"Piritiba","<i>Piritiba</i>","8066","<b>4</b>","4"
"Três Lagoas","<i>Três Lagoas</i>","9846","<b>3</b>","3"
"Nossa Senhora do Livramento","<i>Nossa Senhora do Livramento</i>","7370","<b>1</b>","1"
"Bela Vista do Piauí","<i>Bela Vista do Piauí</i>","6915","<b>1</b>","1"
"Ribeirão dos Índios","<i>Ribeirão dos Índios</i>","8755","<b>0</b>","0"
"Barro Alto","<i>Barro Alto</i>","7801","<b>3</b>","3"
"Careiro da Várzea","<i>Careiro da Várzea</i>","10153","<b>4</b>","4"
"Augustinópolis","<i>Augustinópolis</i>","8932","<b>0</b>","0"
"Jaçanã","<i>Jaçanã</i>","6483","<b>2</b>","2"
"Arapongas","<i>Arapongas</i>","5751","<b>2</b>","2"
"Alto Caparaó","<i>Alto Caparaó</i>","10233","<b>0</b>","0"
"Bertópolis","<i>Bertópolis</i>","10281","<b>1</b>","1"
"Guarantã do Norte","<i>Guarantã do Norte</i>","7347","<b>3</b>","3"
"Heliópolis","<i>Heliópolis</i>","7906","<b>1</b>","1"
"Piracicaba","<i>Piracicaba</i>","8704","<b>0</b>","0"
"Cariacica","<i>Cariacica</i>","11081","<b>1</b>","1"
"Juarez Távora","<i>Juarez Távora</i>","6691","<b>1</b>","1"
"Riacho das Almas","<i>Riacho das Almas</i>","9980","<b>1</b>","1"
"Louveira","<i>Louveira</i>","8579","<b>0</b>","0"
"Goianésia","<i>Goianésia</i>","7534","<b>4</b>","4"
"Cedro do Abaeté","<i>Cedro do Abaeté</i>","10383","<b>0</b>","0"
"Boituva","<i>Boituva</i>","8349","<b>2</b>","2"
"Curiúva","<i>Curiúva</i>","5828","<b>1</b>","1"
"Jóia","<i>Jóia</i>","9497","<b>1</b>","1"
"Sério","<i>Sério</i>","9700","<b>1</b>","1"
"Poxoréo","<i>Poxoréo</i>","7398","<b>4</b>","4"
"Ervália","<i>Ervália</i>","10480","<b>1</b>","1"
"Prados","<i>Prados</i>","10827","<b>0</b>","0"
"Neópolis","<i>Neópolis</i>","7728","<b>6</b>","6"
"Itarantim","<i>Itarantim</i>","7959","<b>1</b>","1"
"Santo Anastácio","<i>Santo Anastácio</i>","8804","<b>1</b>","1"
"Inhumas","<i>Inhumas</i>","7550","<b>2</b>","2"
"Caetanópolis","<i>Caetanópolis</i>","10319","<b>0</b>","0"
"Morro do Pilar","<i>Morro do Pilar</i>","10716","<b>1</b>","1"
"Paverama","<i>Paverama</i>","9578","<b>0</b>","0"
"Carangola","<i>Carangola</i>","10356","<b>3</b>","3"
"Morro Grande","<i>Morro Grande</i>","6300","<b>0</b>","0"
"Aruanã","<i>Aruanã</i>","7467","<b>1</b>","1"
"Cajuri","<i>Cajuri</i>","10322","<b>0</b>","0"
"Faxinalzinho","<i>Faxinalzinho</i>","9436","<b>0</b>","0"
"Paranatama","<i>Paranatama</i>","9965","<b>3</b>","3"
"Comendador Levy Gasparian","<i>Comendador Levy Gasparian</i>","8194","<b>3</b>","3"
"Vila Propício","<i>Vila Propício</i>","7686","<b>0</b>","0"
"Joaquim Nabuco","<i>Joaquim Nabuco</i>","9940","<b>2</b>","2"
"Altônia","<i>Altônia</i>","5739","<b>3</b>","3"
"Correia Pinto","<i>Correia Pinto</i>","6206","<b>0</b>","0"
"Guamiranga","<i>Guamiranga</i>","5863","<b>1</b>","1"
"Coronel Martins","<i>Coronel Martins</i>","6204","<b>0</b>","0"
"Ocara","<i>Ocara</i>","7240","<b>6</b>","6"
"Flora Rica","<i>Flora Rica</i>","8452","<b>0</b>","0"
"Orizona","<i>Orizona</i>","7609","<b>4</b>","4"
"Dom Bosco","<i>Dom Bosco</i>","10462","<b>0</b>","0"
"Nova Serrana","<i>Nova Serrana</i>","10736","<b>6</b>","6"
"Lucena","<i>Lucena</i>","6702","<b>3</b>","3"
"Ubaitaba","<i>Ubaitaba</i>","8158","<b>1</b>","1"
"Rio Fortuna","<i>Rio Fortuna</i>","6351","<b>1</b>","1"
"Carnaúba dos Dantas","<i>Carnaúba dos Dantas</i>","6454","<b>1</b>","1"
"Alpercata","<i>Alpercata</i>","10230","<b>0</b>","0"
"Paranhos","<i>Paranhos</i>","9828","<b>1</b>","1"
"Marmelópolis","<i>Marmelópolis</i>","10677","<b>0</b>","0"
"Santa Rita","<i>Santa Rita</i>","6769","<b>8</b>","8"
"Sertânia","<i>Sertânia</i>","10007","<b>4</b>","4"
"Itamarandiba","<i>Itamarandiba</i>","10580","<b>0</b>","0"
"Ouro Branco","<i>Ouro Branco</i>","10748","<b>4</b>","4"
"São João do Piauí","<i>São João do Piauí</i>","7086","<b>2</b>","2"
"Campo Magro","<i>Campo Magro</i>","5793","<b>2</b>","2"
"Planalto","<i>Planalto</i>","6007","<b>0</b>","0"
"Fruta de Leite","<i>Fruta de Leite</i>","10515","<b>1</b>","1"
"Peruíbe","<i>Peruíbe</i>","8694","<b>3</b>","3"
"Turvo","<i>Turvo</i>","6411","<b>1</b>","1"
"Capanema","<i>Capanema</i>","5798","<b>1</b>","1"
"Arapoema","<i>Arapoema</i>","8930","<b>0</b>","0"
"Eugenópolis","<i>Eugenópolis</i>","10489","<b>0</b>","0"
"Chapadinha","<i>Chapadinha</i>","9111","<b>8</b>","8"
"Bonito","<i>Bonito</i>","9872","<b>0</b>","0"
"Lagoa da Prata","<i>Lagoa da Prata</i>","10637","<b>1</b>","1"
"São Domingos do Norte","<i>São Domingos do Norte</i>","11129","<b>1</b>","1"
"Faxinal","<i>Faxinal</i>","5841","<b>2</b>","2"
"Granjeiro","<i>Granjeiro</i>","7180","<b>4</b>","4"
"Conceição das Pedras","<i>Conceição das Pedras</i>","10400","<b>0</b>","0"
"Rio do Prado","<i>Rio do Prado</i>","10853","<b>1</b>","1"
"Calumbi","<i>Calumbi</i>","9883","<b>1</b>","1"
"Sertão","<i>Sertão</i>","9701","<b>0</b>","0"
"Alfredo Vasconcelos","<i>Alfredo Vasconcelos</i>","10228","<b>1</b>","1"
"Encantado","<i>Encantado</i>","9413","<b>2</b>","2"
"Maracaju","<i>Maracaju</i>","9818","<b>2</b>","2"
"Martins","<i>Martins</i>","6509","<b>0</b>","0"
"Cajobi","<i>Cajobi</i>","8376","<b>0</b>","0"
"Zacarias","<i>Zacarias</i>","8913","<b>0</b>","0"
"Jaraguá","<i>Jaraguá</i>","7567","<b>5</b>","5"
"Santa Cruz da Conceição","<i>Santa Cruz da Conceição</i>","8787","<b>0</b>","0"
"Cândido Godói","<i>Cândido Godói</i>","9347","<b>0</b>","0"
"São José de Caiana","<i>São José de Caiana</i>","6780","<b>1</b>","1"
"Almirante Tamandaré","<i>Almirante Tamandaré</i>","5737","<b>1</b>","1"
"Bonito de Santa Fé","<i>Bonito de Santa Fé</i>","6628","<b>2</b>","2"
"União da Serra","<i>União da Serra</i>","9743","<b>0</b>","0"
"Rio Pomba","<i>Rio Pomba</i>","10860","<b>0</b>","0"
"Água Doce do Norte","<i>Água Doce do Norte</i>","11067","<b>2</b>","2"
"Tangará da Serra","<i>Tangará da Serra</i>","7427","<b>3</b>","3"
"Professor Jamil","<i>Professor Jamil</i>","7633","<b>1</b>","1"
"Teixeirópolis","<i>Teixeirópolis</i>","6865","<b>1</b>","1"
"Goiana","<i>Goiana</i>","9916","<b>3</b>","3"
"Malhada","<i>Malhada</i>","8005","<b>0</b>","0"
"Bom Jesus da Penha","<i>Bom Jesus da Penha</i>","10292","<b>1</b>","1"
"Mirandópolis","<i>Mirandópolis</i>","8609","<b>1</b>","1"
"Santo Antônio do Pinhal","<i>Santo Antônio do Pinhal</i>","8810","<b>0</b>","0"
"Sericita","<i>Sericita</i>","10991","<b>1</b>","1"
"Terra Nova","<i>Terra Nova</i>","8153","<b>1</b>","1"
"Coronel Xavier Chaves","<i>Coronel Xavier Chaves</i>","10427","<b>0</b>","0"
"Curitibanos","<i>Curitibanos</i>","6210","<b>1</b>","1"
"São Sebastião do Maranhão","<i>São Sebastião do Maranhão</i>","10969","<b>1</b>","1"
"Flórida Paulista","<i>Flórida Paulista</i>","8454","<b>3</b>","3"
"Ribeirão Cascalheira","<i>Ribeirão Cascalheira</i>","7403","<b>0</b>","0"
"Santa Fé do Araguaia","<i>Santa Fé do Araguaia</i>","9030","<b>1</b>","1"
"Ribeira do Pombal","<i>Ribeira do Pombal</i>","8088","<b>8</b>","8"
"Divinolândia de Minas","<i>Divinolândia de Minas</i>","10457","<b>0</b>","0"
"Catanduva","<i>Catanduva</i>","8397","<b>7</b>","7"
"Serra Alta","<i>Serra Alta</i>","6393","<b>0</b>","0"
"Dois Irmãos","<i>Dois Irmãos</i>","9403","<b>4</b>","4"
"Balsas","<i>Balsas</i>","9078","<b>6</b>","6"
"União","<i>União</i>","7108","<b>3</b>","3"
"Mato Grosso","<i>Mato Grosso</i>","6713","<b>0</b>","0"
"Contagem","<i>Contagem</i>","10416","<b>17</b>","17"
"Santo Antônio da Patrulha","<i>Santo Antônio da Patrulha</i>","9647","<b>3</b>","3"
"Divinolândia","<i>Divinolândia</i>","8425","<b>0</b>","0"
"Piripiri","<i>Piripiri</i>","7055","<b>3</b>","3"
"Macajuba","<i>Macajuba</i>","7997","<b>0</b>","0"
"Mantenópolis","<i>Mantenópolis</i>","11108","<b>2</b>","2"
"Tapauá","<i>Tapauá</i>","10191","<b>0</b>","0"
"Madeiro","<i>Madeiro</i>","7012","<b>2</b>","2"
"Paraíso","<i>Paraíso</i>","8672","<b>1</b>","1"
"Três Fronteiras","<i>Três Fronteiras</i>","8885","<b>0</b>","0"
"Igaratá","<i>Igaratá</i>","8501","<b>0</b>","0"
"Belágua","<i>Belágua</i>","9082","<b>5</b>","5"
"Coruripe","<i>Coruripe</i>","10056","<b>5</b>","5"
"Icó","<i>Icó</i>","7191","<b>8</b>","8"
"Recife","<i>Recife</i>","9979","<b>37</b>","37"
"Catu","<i>Catu</i>","7854","<b>2</b>","2"
"Penápolis","<i>Penápolis</i>","8691","<b>2</b>","2"
"Marilena","<i>Marilena</i>","5940","<b>1</b>","1"
"Parazinho","<i>Parazinho</i>","6523","<b>1</b>","1"
"Cansanção","<i>Cansanção</i>","7843","<b>1</b>","1"
"Parobé","<i>Parobé</i>","9573","<b>5</b>","5"
"Rio Formoso","<i>Rio Formoso</i>","9982","<b>2</b>","2"
"Monteirópolis","<i>Monteirópolis</i>","10090","<b>1</b>","1"
"Ataléia","<i>Ataléia</i>","10263","<b>1</b>","1"
"Mercês","<i>Mercês</i>","10692","<b>0</b>","0"
"Trizidela do Vale","<i>Trizidela do Vale</i>","9259","<b>6</b>","6"
"Olaria","<i>Olaria</i>","10740","<b>0</b>","0"
"Barra Velha","<i>Barra Velha</i>","6164","<b>3</b>","3"
"Ipixuna do Pará","<i>Ipixuna do Pará</i>","5629","<b>3</b>","3"
"São Raimundo das Mangabeiras","<i>São Raimundo das Mangabeiras</i>","9245","<b>2</b>","2"
"Macaíba","<i>Macaíba</i>","6505","<b>3</b>","3"
"Santa Filomena","<i>Santa Filomena</i>","9991","<b>2</b>","2"
"Jacaraci","<i>Jacaraci</i>","7968","<b>1</b>","1"
"Nanuque","<i>Nanuque</i>","10722","<b>4</b>","4"
"Nova Alvorada do Sul","<i>Nova Alvorada do Sul</i>","9823","<b>3</b>","3"
"Itajá","<i>Itajá</i>","6481","<b>1</b>","1"
"Dom Macedo Costa","<i>Dom Macedo Costa</i>","7883","<b>0</b>","0"
"Taquaral","<i>Taquaral</i>","8868","<b>0</b>","0"
"Massapê do Piauí","<i>Massapê do Piauí</i>","7016","<b>2</b>","2"
"Ribeirão Claro","<i>Ribeirão Claro</i>","6036","<b>0</b>","0"
"Jaguariaíva","<i>Jaguariaíva</i>","5902","<b>0</b>","0"
"Peixe-Boi","<i>Peixe-Boi</i>","5665","<b>0</b>","0"
"Palestina","<i>Palestina</i>","8665","<b>1</b>","1"
"Morro Agudo de Goiás","<i>Morro Agudo de Goiás</i>","7591","<b>0</b>","0"
"Traipu","<i>Traipu</i>","10132","<b>4</b>","4"
"Nova Fátima","<i>Nova Fátima</i>","5967","<b>0</b>","0"
"Tonantins","<i>Tonantins</i>","10193","<b>2</b>","2"
"Borborema","<i>Borborema</i>","6631","<b>1</b>","1"
"Rio do Sul","<i>Rio do Sul</i>","6350","<b>7</b>","7"
"Itaíba","<i>Itaíba</i>","9929","<b>5</b>","5"
"Paracambi","<i>Paracambi</i>","8229","<b>0</b>","0"
"Doutor Ulysses","<i>Doutor Ulysses</i>","6129","<b>2</b>","2"
"Lafaiete Coutinho","<i>Lafaiete Coutinho</i>","7984","<b>1</b>","1"
"Marabá Paulista","<i>Marabá Paulista</i>","8593","<b>0</b>","0"
"Riachão","<i>Riachão</i>","9211","<b>3</b>","3"
"Óleo","<i>Óleo</i>","8652","<b>0</b>","0"
"Paulo de Faria","<i>Paulo de Faria</i>","8683","<b>0</b>","0"
"Riolândia","<i>Riolândia</i>","8766","<b>1</b>","1"
"Pantano Grande","<i>Pantano Grande</i>","9569","<b>1</b>","1"
"Sebastião Barros","<i>Sebastião Barros</i>","7098","<b>0</b>","0"
"Itaobim","<i>Itaobim</i>","10588","<b>1</b>","1"
"Sete Quedas","<i>Sete Quedas</i>","9839","<b>1</b>","1"
"Torres","<i>Torres</i>","9723","<b>2</b>","2"
"Pranchita","<i>Pranchita</i>","6016","<b>1</b>","1"
"Barra do Garças","<i>Barra do Garças</i>","7316","<b>9</b>","9"
"Juína","<i>Juína</i>","7358","<b>4</b>","4"
"Coromandel","<i>Coromandel</i>","10423","<b>2</b>","2"
"Colombo","<i>Colombo</i>","5812","<b>6</b>","6"
"São Miguel das Matas","<i>São Miguel das Matas</i>","8123","<b>0</b>","0"
"Rodeio Bonito","<i>Rodeio Bonito</i>","9619","<b>0</b>","0"
"Alto Alegre","<i>Alto Alegre</i>","10198","<b>6</b>","6"
"Altaneira","<i>Altaneira</i>","7122","<b>2</b>","2"
"São José do Brejo do Cruz","<i>São José do Brejo do Cruz</i>","6786","<b>1</b>","1"
"Matias Barbosa","<i>Matias Barbosa</i>","10683","<b>1</b>","1"
"Boa Vista do Ramos","<i>Boa Vista do Ramos</i>","10146","<b>1</b>","1"
"Ipiaú","<i>Ipiaú</i>","7928","<b>3</b>","3"
"São Luis do Piauí","<i>São Luis do Piauí</i>","7092","<b>0</b>","0"
"Vacaria","<i>Vacaria</i>","9746","<b>3</b>","3"
"São José de Ubá","<i>São José de Ubá</i>","8254","<b>1</b>","1"
"Pinheiros","<i>Pinheiros</i>","11120","<b>2</b>","2"
"Marinópolis","<i>Marinópolis</i>","8598","<b>0</b>","0"
"Flor do Sertão","<i>Flor do Sertão</i>","6219","<b>0</b>","0"
"Canoas","<i>Canoas</i>","9351","<b>7</b>","7"
"Alto Paraíso de Goiás","<i>Alto Paraíso de Goiás</i>","7451","<b>1</b>","1"
"Rio Sono","<i>Rio Sono</i>","9027","<b>2</b>","2"
"Piracanjuba","<i>Piracanjuba</i>","7623","<b>2</b>","2"
"Curionópolis","<i>Curionópolis</i>","5615","<b>1</b>","1"
"Anta Gorda","<i>Anta Gorda</i>","9287","<b>0</b>","0"
"Maxaranguape","<i>Maxaranguape</i>","6510","<b>5</b>","5"
"Una","<i>Una</i>","8162","<b>4</b>","4"
"Espumoso","<i>Espumoso</i>","9426","<b>1</b>","1"
"Canudos","<i>Canudos</i>","7844","<b>5</b>","5"
"Ponte Serrada","<i>Ponte Serrada</i>","6335","<b>1</b>","1"
"Caldas Brandão","<i>Caldas Brandão</i>","6644","<b>1</b>","1"
"Aurora","<i>Aurora</i>","6157","<b>0</b>","0"
"Apiacás","<i>Apiacás</i>","7308","<b>3</b>","3"
"São Carlos","<i>São Carlos</i>","8817","<b>8</b>","8"
"Diadema","<i>Diadema</i>","8423","<b>2</b>","2"
"Amaturá","<i>Amaturá</i>","10136","<b>0</b>","0"
"Castilho","<i>Castilho</i>","8396","<b>5</b>","5"
"Coité do Nóia","<i>Coité do Nóia</i>","10053","<b>3</b>","3"
"Ibituruna","<i>Ibituruna</i>","10551","<b>0</b>","0"
"Gramado Xavier","<i>Gramado Xavier</i>","9456","<b>1</b>","1"
"Ponta Porã","<i>Ponta Porã</i>","9830","<b>7</b>","7"
"Araçuaí","<i>Araçuaí</i>","10248","<b>5</b>","5"
"Campinápolis","<i>Campinápolis</i>","7320","<b>1</b>","1"
"Chaval","<i>Chaval</i>","7161","<b>2</b>","2"
"Cachoeiro de Itapemirim","<i>Cachoeiro de Itapemirim</i>","11080","<b>4</b>","4"
"São Miguel do Gostoso","<i>São Miguel do Gostoso</i>","6564","<b>1</b>","1"
"Camutanga","<i>Camutanga</i>","9886","<b>3</b>","3"
"Nova Esperança do Piriá","<i>Nova Esperança do Piriá</i>","5650","<b>5</b>","5"
"Senador Elói de Souza","<i>Senador Elói de Souza</i>","6570","<b>1</b>","1"
"Chaves","<i>Chaves</i>","5610","<b>12</b>","12"
"Serra da Raiz","<i>Serra da Raiz</i>","6796","<b>0</b>","0"
"Timbaúba dos Batistas","<i>Timbaúba dos Batistas</i>","6585","<b>0</b>","0"
"Graça Aranha","<i>Graça Aranha</i>","9137","<b>2</b>","2"
"Condeúba","<i>Condeúba</i>","7867","<b>2</b>","2"
"Nilo Peçanha","<i>Nilo Peçanha</i>","8034","<b>2</b>","2"
"Estrela do Norte","<i>Estrela do Norte</i>","8445","<b>0</b>","0"
"José Boiteux","<i>José Boiteux</i>","6270","<b>3</b>","3"
"Orlândia","<i>Orlândia</i>","8657","<b>0</b>","0"
"Juazeirinho","<i>Juazeirinho</i>","6692","<b>2</b>","2"
"Correntina","<i>Correntina</i>","7873","<b>4</b>","4"
"Flores","<i>Flores</i>","9910","<b>0</b>","0"
"Juazeiro","<i>Juazeiro</i>","7979","<b>16</b>","16"
"Bias Fortes","<i>Bias Fortes</i>","10284","<b>0</b>","0"
"Alto Alegre","<i>Alto Alegre</i>","8283","<b>1</b>","1"
"Bodoquena","<i>Bodoquena</i>","9783","<b>1</b>","1"
"Couto Magalhães","<i>Couto Magalhães</i>","8956","<b>1</b>","1"
"Feira Grande","<i>Feira Grande</i>","10061","<b>4</b>","4"
"Poloni","<i>Poloni</i>","8716","<b>1</b>","1"
"São Francisco do Brejão","<i>São Francisco do Brejão</i>","9231","<b>1</b>","1"
"Jacobina do Piauí","<i>Jacobina do Piauí</i>","6991","<b>0</b>","0"
"Bela Vista","<i>Bela Vista</i>","9782","<b>4</b>","4"
"Camacho","<i>Camacho</i>","10324","<b>0</b>","0"
"Zé Doca","<i>Zé Doca</i>","9271","<b>5</b>","5"
"Rianápolis","<i>Rianápolis</i>","7636","<b>1</b>","1"
"Castanheiras","<i>Castanheiras</i>","6850","<b>1</b>","1"
"Santana do Jacaré","<i>Santana do Jacaré</i>","10896","<b>0</b>","0"
"Pederneiras","<i>Pederneiras</i>","8684","<b>0</b>","0"
"José de Freitas","<i>José de Freitas</i>","6999","<b>2</b>","2"
"Santa Cruz","<i>Santa Cruz</i>","6550","<b>2</b>","2"
"Taquaritinga","<i>Taquaritinga</i>","8869","<b>2</b>","2"
"Itapuranga","<i>Itapuranga</i>","7561","<b>5</b>","5"
"Guaporé","<i>Guaporé</i>","9460","<b>2</b>","2"
"Conselheiro Pena","<i>Conselheiro Pena</i>","10414","<b>0</b>","0"
"Bom Progresso","<i>Bom Progresso</i>","9322","<b>0</b>","0"
"Chavantes","<i>Chavantes</i>","8914","<b>0</b>","0"
"Bom Jesus do Galho","<i>Bom Jesus do Galho</i>","10294","<b>0</b>","0"
"São Francisco","<i>São Francisco</i>","8818","<b>1</b>","1"
"Alto Horizonte","<i>Alto Horizonte</i>","7450","<b>0</b>","0"
"Mirabela","<i>Mirabela</i>","10696","<b>2</b>","2"
"Roca Sales","<i>Roca Sales</i>","9618","<b>1</b>","1"
"Paracatu","<i>Paracatu</i>","10761","<b>6</b>","6"
"Prata","<i>Prata</i>","10828","<b>2</b>","2"
"Nova Brasilândia D'Oeste","<i>Nova Brasilândia D'Oeste</i>","6831","<b>3</b>","3"
"Jaguarari","<i>Jaguarari</i>","7971","<b>2</b>","2"
"Queluzito","<i>Queluzito</i>","10838","<b>0</b>","0"
"Galvão","<i>Galvão</i>","6225","<b>1</b>","1"
"Mundo Novo","<i>Mundo Novo</i>","9820","<b>0</b>","0"
"Baía da Traição","<i>Baía da Traição</i>","6614","<b>0</b>","0"
"Regeneração","<i>Regeneração</i>","7061","<b>2</b>","2"
